id,age,education,stream_code,interests,skills,gender,title_code,title_label,cluster_code,cluster_label
row_14281,22,iti,mechanical_iti,"hands_on,ncc_defence,tailoring,teaching","crafting,critical_thinking,hand_eye_coordination,public_speaking",male,tailor,Tailor,skilled_trades,Skilled Trades & Vocational
row_04563,19,ug,bca,"chemistry_experiments,drawing,health_fitness","analytical,critical_thinking,research_skills",other,pharmacist,Pharmacist,healthcare,Healthcare & Medicine
row_15256,26,iti,electroplating_iti,"debate,event_planning,hotel_management,travel_tourism,working_with_children","budgeting,customer_service,leadership,planning",other,hotel_manager,Hotel Manager,hospitality,Hospitality & Tourism
row_10924,22,ug,be,"civic_issues,discipline,electrical_work,sports","discipline,fitness_strength",female,police_officer,Police Officer,law_public,"Law, Civil & Public Services"
row_04668,31,ug,bba,"chemistry_experiments,environment_science,health_fitness","analytical,research_skills",male,pharmacist,Pharmacist,healthcare,Healthcare & Medicine
row_13402,17,iti,civil_iti,"biology_experiments,hands_on,repairing","electrical_wiring,farming_skill,machine_operation,repairing",male,electrician,Electrician,skilled_trades,Skilled Trades & Vocational
row_02679,20,ug,bsc,"data_analysis,drawing,law_interest,math,problem_solving","analytical,data_analysis,mathematical_ability,programming",male,data_scientist,Data Scientist,it_ai,Information Technology & AI
row_04235,22,ug,bca,"caring_people,first_aid,health_fitness,marketing","active_listening,empathy,farming_skill,teamwork",male,nurse,Nurse,healthcare,Healthcare & Medicine
row_10425,18,ug,bba,"chemistry_experiments,content_creation,reading,repairing,writing","community_service,discipline,research_skills,storytelling,writing",other,content_writer,Content Writer,arts_media,"Arts, Design & Media"
row_10222,25,ug,ba,"content_creation,fitness,reading,writing","research_skills,storytelling,writing",male,content_writer,Content Writer,arts_media,"Arts, Design & Media"
row_10124,20,ug,ba,"content_creation,management,reading,writing","research_skills,storytelling,writing",male,content_writer,Content Writer,arts_media,"Arts, Design & Media"
row_03601,36,ug,ba,"coding,cyber_awareness,problem_solving","analytical,computer_hardware,critical_thinking,customer_service,cyber_awareness",other,cybersecurity_analyst,Cybersecurity Analyst,it_ai,Information Technology & AI
row_06408,23,ug,bca,"marketing,physics_experiments,research,teaching","research_skills,writing",male,college_professor,College Professor,education,Education & Training
row_12716,16,phd,phd_various,"environment_science,farming,gardening","animal_care,farming_skill,gardening_skill,logical_reasoning",other,organic_farmer,Organic Farmer,agriculture,Agriculture & Environment
row_08923,23,puc,commerce,"content_creation,drawing,electrical_work,graphic_design","drawing,photo_editing,public_speaking,storytelling,visual_design",female,graphic_designer,Graphic Designer,arts_media,"Arts, Design & Media"
row_09179,23,ug,be,"civic_issues,debate,writing","public_speaking,research_skills,writing",female,journalist,Journalist,arts_media,"Arts, Design & Media"
row_08174,23,ug,bba,"marketing,photography,selling,working_with_children","basic_networking,customer_service,planning,public_speaking",female,marketing_executive,Marketing Executive,business,"Business, Management & Finance"
row_09972,24,ug,bcom,"astronomy,content_creation,drawing,forestry,photography","photo_editing,photography_skill,visual_design",other,photographer,Photographer,arts_media,"Arts, Design & Media"
row_08364,16,puc,commerce,management,"customer_service,empathy,leadership,marketing_skill,negotiation",other,hr_manager,HR Manager,business,"Business, Management & Finance"
row_06773,22,puc,pcmb,"fitness,teaching,working_with_children","planning,public_speaking,teaching,writing",male,tutor,Tutor / Coaching Instructor,education,Education & Training
row_07628,16,puc,commerce,"accounting,economics,stock_trading","analytical,data_analysis,mathematical_ability",female,financial_analyst,Financial Analyst,business,"Business, Management & Finance"
row_10205,17,puc,pcme,"content_creation,reading",writing,other,content_writer,Content Writer,arts_media,"Arts, Design & Media"
row_13543,24,puc,pcmb,"forestry,mechanics,repairing","mechanical_skill,photo_editing,repairing",male,mechanic,Mechanic,skilled_trades,Skilled Trades & Vocational
row_01144,20,ug,bca,"building_machines,hands_on,problem_solving","carpentry_skill,conflict_resolution,mechanical_skill,planning,time_management",male,civil_engineer,Civil Engineer,engineering,Engineering & Technology
row_13505,38,iti,electrical_iti,"hands_on,mechanics,repairing","machine_operation,programming",male,mechanic,Mechanic,skilled_trades,Skilled Trades & Vocational
row_01016,22,puc,pcmb,"building_machines,cad_design,problem_solving,robotics","autocad,machine_operation,mechanical_skill",other,mechanical_engineer,Mechanical Engineer,engineering,Engineering & Technology
row_02408,26,puc,commerce,"data_analysis,math,problem_solving","analytical,data_analysis,mathematical_ability,programming",male,data_analyst,Data Analyst,it_ai,Information Technology & AI
row_02287,16,ug,bba,"astronomy,data_analysis,math,problem_solving","analytical,mathematical_ability,programming",other,data_analyst,Data Analyst,it_ai,Information Technology & AI
row_04398,25,ug,bcom,"first_aid,health_fitness",active_listening,other,nurse,Nurse,healthcare,Healthcare & Medicine
row_14562,18,sslc,sslc_generic,"cooking,event_planning,hotel_management","cooking_skill,planning,time_management",female,chef,Chef,hospitality,Hospitality & Tourism
row_04613,22,ug,ba,"health_fitness,tailoring","analytical,crafting,critical_thinking,research_skills",male,pharmacist,Pharmacist,healthcare,Healthcare & Medicine
row_11544,19,puc,arts,"civic_issues,debate,politics","leadership,music,public_speaking",female,ias_officer,IAS/IPS Officer,law_public,"Law, Civil & Public Services"
row_15787,20,phd,phd_various,"fitness,sports","discipline,fitness_strength,teaching",male,fitness_trainer,Fitness Trainer,sports_defence,"Sports, Fitness & Defence"
row_07948,26,puc,arts,"accounting,marketing,selling","customer_service,farming_skill,public_speaking",male,marketing_executive,Marketing Executive,business,"Business, Management & Finance"
row_16239,23,phd,phd_various,"discipline,ncc_defence","fitness_strength,leadership",male,army_personnel,Army / Defence Personnel,sports_defence,"Sports, Fitness & Defence"
row_01705,20,ug,bcom,"building_machines,electronics,robotics","carpentry_skill,electrical_wiring,electronics_skills,machine_operation,repairing",female,electrical_engineer,Electrical Engineer,engineering,Engineering & Technology
row_12838,25,pg,mba,"farming,gardening,organic_farming",animal_care,female,organic_farmer,Organic Farmer,agriculture,Agriculture & Environment
row_15587,20,pg,mca,"carpentry,culture,history,travel_tourism","customer_service,planning,public_speaking,storytelling",male,tour_guide,Tour Guide,hospitality,Hospitality & Tourism
row_06041,16,pg,mtech,"chemistry_experiments,teaching,working_with_children,writing","empathy,public_speaking,teaching,writing",male,pu_lecturer,PU Lecturer,education,Education & Training
row_05320,18,puc,pcmb,"law_interest,management,robotics,web_dev","cyber_awareness,electrical_wiring,mechanical_skill,public_speaking",other,physiotherapist,Physiotherapist,healthcare,Healthcare & Medicine
row_00514,16,iti,electroplating_iti,"coding,gaming,teaching,web_dev","autocad,data_analysis,programming,public_speaking,video_editing",female,mobile_app_developer,Mobile App Developer,it_ai,Information Technology & AI
row_17486,20,puc,commerce,"coding,content_creation,entrepreneurship,gaming,graphic_design","content_creation,illustration,self_management,time_management",other,freelancer,Freelancer / Consultant,entrepreneurship,Entrepreneurship & Startups
row_11393,25,ug,bsc,"debate,politics,tailoring","empathy,leadership,planning,public_speaking",female,ias_officer,IAS/IPS Officer,law_public,"Law, Civil & Public Services"
row_06432,23,puc,pcme,"physics_experiments,teaching","public_speaking,research_skills,writing",female,college_professor,College Professor,education,Education & Training
row_07033,20,pg,msc,"animal_care,teaching,working_with_children","empathy,public_speaking,teaching",male,tutor,Tutor / Coaching Instructor,education,Education & Training
row_13573,21,sslc,sslc_generic,"hands_on,management","content_creation,machine_operation,mechanical_skill,repairing",female,mechanic,Mechanic,skilled_trades,Skilled Trades & Vocational
row_11816,16,iti,civil_iti,"chemistry_experiments,community_service,social_work","active_listening,community_service,conflict_resolution,logical_reasoning",other,social_worker,Social Worker,law_public,"Law, Civil & Public Services"
row_12613,25,phd,phd_various,"environment_science,farming,organic_farming","farming_skill,music,research_skills",other,horticulturist,Horticulturist,agriculture,Agriculture & Environment
row_08478,20,ug,bca,"helping_people,management,organizing","customer_service,empathy,leadership,negotiation",other,hr_manager,HR Manager,business,"Business, Management & Finance"
row_14644,23,iti,mechanical_iti,"gardening,hotel_management","cooking_skill,farming_skill,planning,time_management",other,chef,Chef,hospitality,Hospitality & Tourism
row_00018,27,puc,commerce,"coding,problem_solving,web_dev,writing","critical_thinking,data_analysis,programming",female,software_engineer,Software Engineer,engineering,Engineering & Technology
row_11559,21,sslc,sslc_generic,"community_service,farming,tailoring","active_listening,animal_care,community_service,empathy",other,social_worker,Social Worker,law_public,"Law, Civil & Public Services"
row_07633,26,puc,commerce,"accounting,dance,economics,stock_trading,writing","analytical,data_analysis,mathematical_ability",male,financial_analyst,Financial Analyst,business,"Business, Management & Finance"
row_03389,30,puc,pcmb,"coding,cyber_awareness,problem_solving","analytical,computer_hardware,critical_thinking,cyber_awareness,electronics_skills,logical_reasoning",male,cybersecurity_analyst,Cybersecurity Analyst,it_ai,Information Technology & AI
row_14484,27,iti,electrical_iti,"hands_on,tailoring","crafting,electronics_skills,tailoring_skill",male,tailor,Tailor,skilled_trades,Skilled Trades & Vocational
row_07088,24,pg,mba,"accounting,entrepreneurship","analytical,budgeting,math",other,chartered_accountant,Chartered Accountant,business,"Business, Management & Finance"
row_03435,23,ug,ba,"coding,cyber_awareness,first_aid,gardening,problem_solving","analytical,critical_thinking,cyber_awareness",female,cybersecurity_analyst,Cybersecurity Analyst,it_ai,Information Technology & AI
row_08361,17,puc,pcme,"health_fitness,helping_people,management,organizing","empathy,leadership,negotiation",female,hr_manager,HR Manager,business,"Business, Management & Finance"
row_07084,18,ug,bsc,"adventure,teaching,working_with_children,writing","empathy,public_speaking,teaching,video_editing,writing",male,tutor,Tutor / Coaching Instructor,education,Education & Training
row_13564,29,iti,electroplating_iti,"mechanics,repairing,writing","content_creation,machine_operation,mechanical_skill",other,mechanic,Mechanic,skilled_trades,Skilled Trades & Vocational
row_01702,23,ug,bba,"building_machines,electronics,robotics","electrical_wiring,electronics_skills,idea_generation,machine_operation,repairing",female,electrical_engineer,Electrical Engineer,engineering,Engineering & Technology
row_10938,16,pg,mtech,"civic_issues,discipline,law_interest","discipline,fitness_strength,illustration",other,police_officer,Police Officer,law_public,"Law, Civil & Public Services"
row_16932,16,ug,bca,"entrepreneurship,environment_science,management","discipline,entrepreneurship_skill,leadership,negotiation",male,startup_founder,Startup Founder,entrepreneurship,Entrepreneurship & Startups
row_08896,21,ug,bsc,"content_creation,drawing,graphic_design","cooking_skill,drawing,photo_editing,visual_design",other,graphic_designer,Graphic Designer,arts_media,"Arts, Design & Media"
row_02207,18,iti,civil_iti,"astronomy,building_machines,electronics,robotics","electrical_wiring,electronics_skills,machine_operation,repairing",other,embedded_engineer,Embedded Systems Engineer,engineering,Engineering & Technology
row_02067,21,ug,ba,"building_machines,content_creation,electronics,robotics","community_service,electrical_wiring,electronics_skills,repairing",other,embedded_engineer,Embedded Systems Engineer,engineering,Engineering & Technology
row_06285,26,puc,pcmb,"teaching,working_with_children,writing","empathy,writing",male,pu_lecturer,PU Lecturer,education,Education & Training
row_16399,16,sslc,sslc_generic,"athletics,coaching,sports,web_dev","active_listening,fitness_strength,leadership,teaching",other,sports_coach,Sports Coach,sports_defence,"Sports, Fitness & Defence"
row_02311,21,puc,pcmb,"data_analysis,entrepreneurship,problem_solving","analytical,data_analysis,mathematical_ability,programming",other,data_analyst,Data Analyst,it_ai,Information Technology & AI
row_16351,21,pg,mca,"adventure,law_interest,ncc_defence","discipline,fitness_strength,leadership",other,army_personnel,Army / Defence Personnel,sports_defence,"Sports, Fitness & Defence"
row_17221,21,ug,bsc,"coding,content_creation,graphic_design,selling","autocad,content_creation,time_management",other,freelancer,Freelancer / Consultant,entrepreneurship,Entrepreneurship & Startups
row_00057,17,puc,pcmc,"coding,electronics,mechanics","computer_hardware,critical_thinking,data_analysis,programming,teaching",other,software_engineer,Software Engineer,engineering,Engineering & Technology
row_06709,22,ug,ba,"forestry,physics_experiments,research,teaching",public_speaking,female,college_professor,College Professor,education,Education & Training
row_07099,18,ug,bsc,"accounting,entrepreneurship,management,money_management","analytical,budgeting,math,planning",female,chartered_accountant,Chartered Accountant,business,"Business, Management & Finance"
row_05129,34,puc,pcme,"biology_experiments,lab_research,rural_development,travel_tourism","analytical,research_skills",female,lab_technician,Lab Technician,healthcare,Healthcare & Medicine
